artist_name_rollup,sony_flag,parent_genre,catalog_growth_rate,catalog_momentum_pctile,release_momentum_avg_pct_change,release_momentum_pctile,instagram_1m_growth_rate,ig_growth_pctile,tiktok_1m_growth_rate,tiktok_growth_pctile,ig_engagement_rate,ig_engagement_pctile,tiktok_like_to_view_ratio,tiktok_engagement_pctile,lean_forward_%,lean_forward_pct_pctile,lf_streams_per_listener,lf_streams_per_listener_pctile,core_streaming_age,core_streaming_age_pctile,core_socials_age,core_socials_age_pctile,kpi_count,normalized_score,overall_percentile,overall_rating
Mette,N,Pop,-0.03147921603955632,39.0,,,-0.000870525022037327,32.0,0.00294118002057076,57.0,0.00483233945814329,11.0,0.00368987746495913,1.0,,,,,,,27.8026874540617,22.0,6,27.0,5.0,Very Weak
Frances Whitney,N,Alternative / Indie,-0.13710197156423037,12.0,,,-0.00243315007537603,10.0,0.0,30.0,0.0355476959352094,55.0,0.0791386271870794,30.0,,,,,,,25.9613216435084,24.0,6,26.833333333333332,5.0,Very Weak
Ose,N,Afrobeats,-0.14980233575761234,9.0,,,0.000853242003358901,49.0,0.0,30.0,0.0,3.0,0.0907079646017699,38.0,,,,,,,25.5664850915329,28.0,6,26.166666666666668,4.0,Very Weak
Wizkid,Y,Afrobeats,-0.028399412196953175,42.0,-0.19700948785291705,19.0,0.000712304026819766,48.0,0.0,30.0,0.0197858323509027,33.0,0.0406624773518162,11.0,0.49,12.0,3.17,34.0,37.6082350227466,21.0,29.0,16.0,10,26.6,4.0,Very Weak
Teddy Swims,N,Pop,-0.04948110668137755,31.0,1.536592446944248,79.0,-0.00350516010075808,5.0,0.0,30.0,0.00564897055858092,14.0,0.0684024055669616,24.0,,,,,,,42.7019305514768,1.0,7,26.285714285714285,4.0,Very Weak
Snoh Aalegra,N,R&B,-0.02049831931597122,47.0,,,-0.00150509004015476,22.0,0.00439239013940096,59.0,0.0,3.0,0.0277577756262859,6.0,,,,,,,29.0,16.0,6,25.5,3.0,Very Weak
Taylor Swift,N,Pop,-0.04793881207070556,32.0,-0.6518733643924672,7.0,-0.00106584001332521,29.0,-0.00297619006596506,2.0,0.0135889401442889,29.0,0.061831348444103,18.0,,,,,,,24.5326455781871,57.0,7,24.857142857142858,3.0,Very Weak
Goya Menor & Nektunez,N,Afrobeats,0.028935093683295124,72.0,,,-0.00178834004327655,18.0,-0.000414421985624358,9.0,0.00761662459735905,19.0,0.0520222522928883,15.0,,,,,,,31.2300718556559,13.0,6,24.333333333333332,2.0,Very Weak
D'Angelo,Y,R&B,-0.06268722450297265,27.0,,,-0.000428342988016084,36.0,0.0,30.0,0.0,3.0,,,0.6,39.0,1.99,7.0,33.1536619992762,40.0,35.2659423387152,2.0,8,23.0,2.0,Very Weak
Justin Timberlake,Y,Pop,-0.1625551527335236,8.0,,,-0.00119437999092042,26.0,0.0,30.0,0.00184271210808664,7.0,0.0596754865129136,17.0,0.48,10.0,3.4,38.0,30.1336684784114,47.0,25.045211222347,39.0,9,24.666666666666668,2.0,Very Weak
Justin Bieber,N,Pop,-0.23287359788883943,5.0,-0.7491830385193929,5.0,-0.00132787995971739,24.0,0.0,30.0,0.00386001500119426,10.0,0.0433429355281207,12.0,,,,,,,24.1976574494336,68.0,7,22.0,1.0,Very Weak
Cam,Y,Country,-0.027830529232031748,42.0,0.03123000750241709,35.0,-0.00119404005818069,27.0,-0.000844595022499561,8.0,0.00584159720226119,15.0,0.0548887631414361,16.0,0.64,54.0,2.52,20.0,39.6366700974652,9.0,42.6823959716263,1.0,10,22.7,1.0,Very Weak
Barbara Doza,Y,Latin,-0.3038116591928251,3.0,,,,,,,0.0233179661922897,40.0,0.0774365821094793,29.0,0.46,7.0,1.62,2.0,38.3842003853565,15.0,24.3780909940247,64.0,7,22.857142857142858,1.0,Very Weak
Ice Spice,N,Hip-Hop & Rap,-0.10859683874690712,15.0,-0.5331370735181249,8.0,-0.00766373984515667,1.0,0.0,30.0,0.0,3.0,0.0609020979020979,18.0,,,,,,,25.1718785099756,35.0,7,15.714285714285714,0.0,Very Weak
Kanye West,N,Hip-Hop & Rap,0.1427975865635296,91.0,62.74240775533659,96.0,,,,,0.0532914874082419,73.0,,,,,,,,,24.8896662287431,46.0,4,,,
Yeat,N,Hip-Hop & Rap,0.26674513603284294,93.0,-0.055797445034600573,32.0,,,,,0.167162361251766,96.0,,,,,,,,,20.0376052116796,85.0,4,,,
Nicki Minaj,N,Hip-Hop & Rap,-0.012639466638113366,50.0,,,,,,,,,0.0710362685754812,26.0,,,,,,,,,2,,,
YNW Bslime,N,Hip-Hop & Rap,-0.04158337407707685,34.0,,,,,,,0.0057406029347718,15.0,,,,,,,,,19.8048126261395,95.0,3,,,
Ethan Garner,Y,Country,91.49006622516556,100.0,,,,,,,,,,,0.43,4.0,4.48,63.0,34.6392971046214,31.0,,,4,,,
Lawson,N,Pop,-0.01765375854214123,48.0,0.05231788079470199,37.0,,,,,,,,,,,,,,,,,2,,,
KNA,N,R&B,-0.864406779661017,0.0,,,,,,,,,,,,,,,,,,,1,,,
